PartType	RefDes	PartDecal	Pins	Layer	Orient.	X	Y	SMD	Glued
CAPACITOR_LST	C4S	CAP1005L	2	Top	270	10420	5575	Yes	No
CAPACITOR_LST	C4T	CAP1005L	2	Top	270	10420	4575	Yes	No
CAPACITOR_LST	C4U	CAP1005L	2	Top	270	10420	3575	Yes	No
CAPACITOR_LST	C4V	CAP1005L	2	Top	270	10420	2575	Yes	No
CAPACITOR_LST	C4W	CAP1005L	2	Top	270	10420	1575	Yes	No
CAPACITOR_LST	C4X	CAP1005L	2	Top	270	10420	575	Yes	No
CAPACITOR_LST	C5	CAP1005L	2	Bottom	0	2380	1970	Yes	No
CAPACITOR_LST	C5A	CAP1005L	2	Top	180	2040	780	Yes	No
CAPACITOR_LST	C5B	CAP1005L	2	Top	180	2040	1780	Yes	No
CAPACITOR_LST	C5C	CAP1005L	2	Top	180	2040	2780	Yes	No
CAPACITOR_LST	C5D	CAP1005L	2	Top	180	2040	3780	Yes	No
CAPACITOR_LST	C5E	CAP1005L	2	Top	180	2040	4780	Yes	No
CAPACITOR_LST	C5F	CAP1005L	2	Top	180	2040	5780	Yes	No
CAPACITOR_LST	C5G	CAP1005L	2	Top	180	2040	6780	Yes	No
CAPACITOR_LST	C5H	CAP1005L	2	Top	180	2040	7780	Yes	No
CAPACITOR_LST	C5I	CAP1005L	2	Top	180	2040	8780	Yes	No
CAPACITOR_LST	C5J	CAP1005L	2	Top	180	2040	9780	Yes	No
CAPACITOR_LST	C5K	CAP1005L	2	Top	180	2040	10780	Yes	No
CAPACITOR_LST	C5L	CAP1005L	2	Top	180	2040	11780	Yes	No
CAPACITOR_LST	C5M	CAP1005L	2	Top	0	9960	11470	Yes	No
CAPACITOR_LST	C5N	CAP1005L	2	Top	0	9960	10470	Yes	No
CAPACITOR_LST	C5O	CAP1005L	2	Top	0	9960	9470	Yes	No
CAPACITOR_LST	C5P	CAP1005L	2	Top	0	9960	8470	Yes	No
CAPACITOR_LST	C5Q	CAP1005L	2	Top	0	9960	7470	Yes	No
CAPACITOR_LST	C5R	CAP1005L	2	Top	0	9960	6470	Yes	No
CAPACITOR_LST	C5S	CAP1005L	2	Top	0	9960	5470	Yes	No
CAPACITOR_LST	C5T	CAP1005L	2	Top	0	9960	4470	Yes	No
CAPACITOR_LST	C5U	CAP1005L	2	Top	0	9960	3470	Yes	No
CAPACITOR_LST	C5V	CAP1005L	2	Top	0	9960	2470	Yes	No
CAPACITOR_LST	C5W	CAP1005L	2	Top	0	9960	1470	Yes	No
CAPACITOR_LST	C5X	CAP1005L	2	Top	0	9960	470	Yes	No
CAPACITOR_LST	C6	CAP1005L	2	Top	135	2184	895	Yes	No
CAPACITOR_LST	C6A	CAP1005L	2	Top	0	1010	520	Yes	No
CAPACITOR_LST	C6B	CAP1005L	2	Top	0	1010	1520	Yes	No
CAPACITOR_LST	C6C	CAP1005L	2	Top	0	1010	2520	Yes	No
CAPACITOR_LST	C6D	CAP1005L	2	Top	0	1010	3520	Yes	No
CAPACITOR_LST	C6E	CAP1005L	2	Top	0	1010	4520	Yes	No
CAPACITOR_LST	C6F	CAP1005L	2	Top	0	1010	5520	Yes	No
CAPACITOR_LST	C6G	CAP1005L	2	Top	0	1010	6520	Yes	No
CAPACITOR_LST	C6H	CAP1005L	2	Top	0	1010	7520	Yes	No
CAPACITOR_LST	C6I	CAP1005L	2	Top	0	1010	8520	Yes	No
CAPACITOR_LST	C6J	CAP1005L	2	Top	0	1010	9520	Yes	No
CAPACITOR_LST	C6K	CAP1005L	2	Top	0	1010	10520	Yes	No
CAPACITOR_LST	C6L	CAP1005L	2	Top	0	1010	11520	Yes	No
CAPACITOR_LST	C6M	CAP1005L	2	Top	180	10990	11730	Yes	No
CAPACITOR_LST	C6N	CAP1005L	2	Top	180	10990	10730	Yes	No
CAPACITOR_LST	C6O	CAP1005L	2	Top	180	10990	9730	Yes	No
CAPACITOR_LST	C6P	CAP1005L	2	Top	180	10990	8730	Yes	No
CAPACITOR_LST	C6Q	CAP1005L	2	Top	180	10990	7730	Yes	No
CAPACITOR_LST	C6R	CAP1005L	2	Top	180	10990	6730	Yes	No
CAPACITOR_LST	C6S	CAP1005L	2	Top	180	10990	5730	Yes	No
CAPACITOR_LST	C6T	CAP1005L	2	Top	180	10990	4730	Yes	No
CAPACITOR_LST	C6U	CAP1005L	2	Top	180	10990	3730	Yes	No
CAPACITOR_LST	C6V	CAP1005L	2	Top	180	10990	2730	Yes	No
CAPACITOR_LST	C6W	CAP1005L	2	Top	180	10990	1730	Yes	No
CAPACITOR_LST	C6X	CAP1005L	2	Top	180	10990	730	Yes	No
CAPACITOR_LST	C7	CAP1005L	2	Top	90	1220	150	Yes	No
CAPACITOR_LST	C7A	CAP1005L	2	Top	270	1160	340	Yes	No
CAPACITOR_LST	C7B	CAP1005L	2	Top	270	1160	1340	Yes	No
CAPACITOR_LST	C7C	CAP1005L	2	Top	270	1160	2340	Yes	No
CAPACITOR_LST	C7D	CAP1005L	2	Top	270	1160	3340	Yes	No
CAPACITOR_LST	C7E	CAP1005L	2	Top	270	1160	4340	Yes	No
CAPACITOR_LST	C7F	CAP1005L	2	Top	270	1160	5340	Yes	No
CAPACITOR_LST	C7G	CAP1005L	2	Top	270	1160	6340	Yes	No
CAPACITOR_LST	C7H	CAP1005L	2	Top	270	1160	7340	Yes	No
CAPACITOR_LST	C7I	CAP1005L	2	Top	270	1160	8340	Yes	No
CAPACITOR_LST	C7J	CAP1005L	2	Top	270	1160	9340	Yes	No
CAPACITOR_LST	C7K	CAP1005L	2	Top	270	1160	10340	Yes	No
CAPACITOR_LST	C7L	CAP1005L	2	Top	270	1160	11340	Yes	No
